timestamp,temperature,tennis_activity_index,hour,day_of_week,energy_consumption
2025-01-01 00:00:00,15.04900568082273,0.6950069033475477,0,2,7.921029725501555
2025-01-01 01:00:00,13.906044463294378,0.8948097405203876,1,2,8.061037174385678
2025-01-01 02:00:00,15.320759573983757,3.468329197642802,2,2,8.373688111283684
2025-01-01 03:00:00,16.896373946936958,5.278067196291039,3,2,8.809133372694827
2025-01-01 04:00:00,13.733444130900507,0.0,4,2,7.416830791214626
2025-01-01 05:00:00,,3.650458700542228,5,2,8.271214316847008
2025-01-01 06:00:00,16.997503273315814,3.605378643920384,6,2,9.078155260908188
2025-01-01 07:00:00,15.536302717877748,6.860174222954361,7,2,9.901874122961882
2025-01-01 08:00:00,13.309866310719597,3.845462920088132,8,2,9.42048397005088
2025-01-01 09:00:00,15.131528283857248,5.151081274059578,9,2,9.988586982481545
2025-01-01 10:00:00,13.320768358340079,4.740137138148688,10,2,11.584846696862508
2025-01-01 11:00:00,13.31660664897605,0.8780369843277591,11,2,10.38883303829303
2025-01-01 12:00:00,14.590452294221373,5.805952268273954,12,2,12.626470931811395
2025-01-01 13:00:00,10.711015765018475,4.866174059275689,13,2,11.548108386172355
2025-01-01 14:00:00,11.050068106879053,5.364056687446802,14,2,11.976945934729487
2025-01-01 15:00:00,13.142802652768761,11.174604100941755,15,2,12.854242418889699
2025-01-01 16:00:00,12.33182418880055,0.9570080028523997,16,2,9.914057494856095
2025-01-01 17:00:00,14.720565404074005,11.431984304593884,17,2,12.145626870199386
2025-01-01 18:00:00,12.520476869464332,8.011339217019396,18,2,10.438536802298882
2025-01-01 19:00:00,11.612773542998987,8.988459137485115,19,2,10.338464558771255
2025-01-01 20:00:00,16.79308798946131,8.422629182987889,20,2,9.753858486337116
2025-01-01 21:00:00,13.748522864526748,7.778798233223326,21,2,9.300828914685995
2025-01-01 22:00:00,14.276470973840775,7.53128402199411,22,2,9.70786398176273
2025-01-01 23:00:00,11.590373470218289,9.060164850474116,23,2,10.510524109893026
2025-01-02 00:00:00,13.329905600459384,1.9208047156581456,0,3,8.016522579889891
2025-01-02 01:00:00,14.509455166082471,5.775984584787001,1,3,9.52021339328281
2025-01-02 02:00:00,12.238006065244567,3.792469511695068,2,3,8.431368576587651
2025-01-02 03:00:00,14.98605093762692,2.578882123631392,3,3,9.014697909865355
